,country,gdp_cap,gdp_cap_year,population,population_year,old_population,old_population_year,physicians,physicians_year,hosp_beds,hosp_beds_year,health_exp,health_exp_year,health_workers,health_workers_year,ppl_per_hosp_bed,ppl_per_physician,tot_hosp_beds,continent
55,Guinea,878.599613250501,2018,12414318.0,2018,2.9260224484793502,2018,0.0788,2016,0.3,2011,37.45933893,2016,0.517,2016,3333.3333333333335,12690.35532994924,3724295.4,Africa
56,"Gambia, The",716.118488979126,2018,2280102.0,2018,2.5899809393823197,2018,0.1077,2015,1.1,2011,20.93043715,2016,,,909.090909090909,9285.051067780872,2508112.2,Africa
57,Equatorial Guinea,10261.7600116887,2018,1308974.0,2018,2.4578773467789703,2018,0.4,2017,2.1,2010,281.37453092,2016,,,476.19047619047615,2500.0,2748845.4,Africa
58,Greece,20324.2535641478,2018,10727668.0,2018,21.6552720778435,2018,4.592,2016,4.3,2015,1510.66671302,2016,,,232.55813953488374,217.7700348432056,46128972.4,Europe
59,Grenada,10640.496760331,2018,111454.0,2018,9.62190679562869,2018,1.4471,2017,3.7,2014,516.41704659,2016,,,270.27027027027026,691.0372469076083,412379.80000000005,North America
60,Guatemala,4549.01008110721,2018,17247807.0,2018,4.81207250828785,2018,0.355,2018,0.6,2014,241.35228463,2016,,,1666.6666666666667,2816.9014084507044,10348684.2,North America
61,Guyana,4979.00218839886,2018,779004.0,2018,6.45027124309697,2018,0.799,2018,1.6,2014,192.27367614,2016,0.325,2010,625.0,1251.5644555694619,1246406.4000000001,South America
62,Honduras,2500.1132128602303,2018,9587522.0,2018,4.69061765907812,2018,0.3144,2017,0.7,2014,199.55451507,2016,,,1428.5714285714287,3180.6615776081426,6711265.399999999,North America
63,Croatia,14909.6931860854,2018,4089400.0,2018,20.445433012423,2018,2.9962,2016,5.6,2015,884.49111374,2016,,,178.57142857142858,333.75609104866163,22900640.0,Europe
64,Haiti,868.34202469407,2018,11123176.0,2018,4.94940384843253,2018,0.2345,2018,0.7,2013,37.7231276,2016,,,1428.5714285714287,4264.392324093817,7786223.199999999,North America
65,Hungary,16161.9805101918,2018,9768785.0,2018,19.1577253832321,2018,3.2312,2016,7.0,2013,942.59196302,2016,,,142.85714285714286,309.4825451844516,68381495.0,Europe
66,Indonesia,3893.59607757239,2018,267663435.0,2018,5.857165612728631,2018,0.3777,2017,1.2,2015,111.55321931,2016,0.0,2015,833.3333333333334,2647.6039184537995,321196122.0,Asia
67,India,2009.9788572703897,2018,1352617328.0,2018,6.1799556494714905,2018,0.7776,2017,0.7,2011,62.71555407,2016,0.581,2016,1428.5714285714287,1286.008230452675,946832129.5999999,Asia
68,Ireland,78806.431996268,2018,4853506.0,2018,13.8658017012923,2018,3.0861,2017,2.8,2013,4758.59431522,2016,,,357.14285714285717,324.03356987783934,13589816.799999999,Europe
69,"Iran, Islamic Rep.",5627.7492684545605,2017,81800269.0,2018,6.18457380562499,2018,1.14,2015,1.5,2014,415.39119979,2016,,,666.6666666666666,877.1929824561404,122700403.5,Asia
70,Iraq,5834.166210760611,2018,38433600.0,2018,3.3235996627950497,2018,0.8217,2017,1.4,2014,152.64254835,2016,,,714.2857142857143,1216.9891687963977,53807040.0,Asia
71,Iceland,73191.1163154337,2018,353574.0,2018,14.795092556568902,2018,3.9701,2017,3.2,2014,5063.60583151,2016,,,312.5,251.88282411022394,1131436.8,Europe
72,Israel,41715.0292840432,2018,8883800.0,2018,11.9769860249625,2018,3.2176,2016,3.1,2013,2837.13963899,2016,,,322.5806451612903,310.79065141720537,27539780.0,Asia
73,Italy,34483.2039992043,2018,60431283.0,2018,22.7516796025077,2018,4.0931,2017,3.4,2012,2738.70612439,2016,,,294.11764705882354,244.31360093816426,205466362.2,Europe
74,Jamaica,5354.2368587703,2018,2934855.0,2018,8.79664255070196,2018,1.3199,2017,1.7,2013,296.24614827,2016,0.319,2016,588.2352941176471,757.6331540268202,4989253.5,North America
75,Jordan,4241.78878213854,2018,9956011.0,2018,3.8464903979983402,2018,2.3436,2017,1.4,2015,223.53819879,2016,,,714.2857142857143,426.69397508107187,13938415.399999999,Asia
76,Japan,39289.9584346358,2018,126529100.0,2018,27.576369910355,2018,2.4118,2016,13.4,2012,4233.0332763999995,2016,,,74.6268656716418,414.6280786134837,1695489940.0,Asia
77,Kazakhstan,9812.60113654067,2018,18276499.0,2018,7.39184627103032,2018,3.2522,2014,6.7,2013,262.0090142,2016,,,149.2537313432836,307.48416456552485,122452543.3,Asia
78,Kenya,1710.51009699405,2018,51393010.0,2018,2.33918661191556,2018,0.1988,2014,1.4,2010,66.20980967,2016,,,714.2857142857143,5030.181086519115,71950214.0,Africa
79,Kyrgyz Republic,1281.36366078545,2018,6315800.0,2018,4.494727975596559,2018,1.876,2014,4.5,2013,72.87788481,2016,,,222.22222222222223,533.0490405117271,28421100.0,Asia
80,Cambodia,1510.3248705764001,2018,16249798.0,2018,4.56868001756576,2018,0.1682,2014,0.8,2015,77.67368199,2016,,,1250.0,5945.303210463734,12999838.4,Asia
81,Kiribati,1625.28610001512,2018,115847.0,2018,3.95262717204589,2018,0.2028,2013,1.9,2015,188.04908791,2016,,,526.3157894736843,4930.966469428007,220109.3,Oceania
82,"Korea, Rep.",31362.75147294,2018,51635256.0,2018,14.418555832396901,2018,2.3661,2017,11.5,2015,2043.86063994,2016,,,86.95652173913044,422.63640590000426,593805444.0,Asia
83,Kuwait,33994.4065667831,2018,4137309.0,2018,2.55047238400198,2018,2.5789,2015,2.0,2014,1068.32321339,2016,,,500.0,387.762224204118,8274618.0,Asia
84,Lao PDR,2542.4865281792,2018,7061507.0,2018,4.075149964448101,2018,0.4997,2014,1.5,2012,55.21359284,2016,,,666.6666666666666,2001.2007204322595,10592260.5,Asia
85,Lebanon,8269.78767551923,2018,6848925.0,2018,7.002368134392941,2018,2.271,2017,2.9,2014,662.12705762,2016,,,344.82758620689657,440.33465433729634,19861882.5,Asia
86,Liberia,677.322178545364,2018,4818977.0,2018,3.25343179968014,2018,0.0373,2015,0.8,2010,68.31283566,2016,0.061,2010,1250.0,26809.65147453083,3855181.6,Africa
